29401	1	YZ	87144583	245.20	HH
29402	2	ST	89597016	337.27	LO
29403	2	QR	13943797	726.60	HH
29404	3	WX	83084338	113.50	HH
29405	3	CD	24485939	32.70	  
29406	3	AB	59972357	353.90	IN
29407	4	UV	26693541	207.80	HH
29408	4	UV	5848086	128.50	HH
29409	5	GH	37390208	266.80	HH
29410	6	AB	44486999	395.40	HH
29411	7	IJ	34452903	488.00	HH
29412	8	UV	12510681	261.20	HH
29413	8	IJ	93210345	671.20	  
29414	10	UV	18686104	703.30	HH
29415	10	QR	93182509	134.40	LE
29416	11	ST	38470870	213.20	HH
29417	12	CD	23010808	29.70	HH
29418	12	KL	63607060	329.50	HH
29419	13	EF	35443323	244.40	HH
29420	14	WX	11793136	362.90	HH
29421	15	KL	24265569	307.20	HH
29422	17	EF	15076423	403.20	HH
29423	19	QR	14132368	252.32	LO
29425	20	AB	3399968	200.30	HH
29426	21	YZ	60152441	627.60	HH
29427	22	ST	34691494	635.20	HH
29428	23	MN	20774019	580.70	HH
29429	24	IJ	50810194	22.10	HH
29430	24	QR	46086388	764.10	  
29431	25	YZ	1301700	252.32	LO
29432	25	IJ	4896235	681.70	HH
29433	25	AB	79838293	111.00	  
29434	25	WX	52864879	16.40	IN
29435	26	EF	12891853	1038.70	HH
29436	27	CD	28175699	405.40	HH
29439	29	ST	32924878	687.10	HH
29440	29	MN	93088209	82.90	  
29441	29	UV	41335338	.80	IN
29442	30	EF	66168540	248.02	LE
29443	31	ST	42430687	1020.20	HH
29444	33	KL	33047658	389.20	HH
29445	34	WX	21845197	147.90	LE
29446	34	GH	19993174	50.20	HH
29447	34	IJ	58999049	607.00	  
29448	35	MN	56788617	102.20	HH
29449	35	MN	99848401	136.20	HH
29450	36	CD	80693810	406.90	HH
29451	37	QR	71644407	530.75	LO
29452	37	IJ	29728555	231.70	HH
29453	37	OP	23782724	258.40	  
29454	37	YZ	89609831	9.70	IN
29455	38	QR	79067885	230.68	LO
29456	38	EF	2692229	690.10	HH
29457	38	KL	83435654	23.10	  
29458	38	OP	64685678	22.80	IN
29459	39	CD	77015351	14.50	HH
29460	39	WX	949460	297.00	HH
29461	40	ST	31161588	3.30	HH
29462	40	MN	96111678	430.10	  
29463	42	CD	1007766	423.90	HH
29464	42	KL	55873340	23.90	  
29465	42	YZ	38318204	159.20	IN
29466	43	CD	89718746	658.90	HH
29467	44	GH	11344862	234.40	HH
29470	47	KL	76620852	694.00	HH
29471	47	KL	37438374	17.40	  
29472	47	EF	83359431	14.10	IN
29473	47	UV	30289006	.90	  
29474	48	AB	50218236	626.80	HH
29475	48	ST	2071685	102.90	  
29476	49	CD	83233099	310.20	HH
29477	50	WX	75148117	26.90	HH
29478	50	UV	17270559	702.40	  
29479	51	KL	71050131	207.40	HH
29480	51	KL	74449389	205.70	  
29481	52	EF	6008005	56.00	HH
29482	52	QR	85721850	372.30	  
29483	53	MN	81024360	285.10	HH
29484	54	IJ	90659772	228.00	HH
29485	55	EF	53077900	308.60	HH
29486	56	KL	73539948	808.00	HH
29487	57	YZ	55066728	410.70	HH
29489	59	IJ	38201576	69.50	HH
29490	59	ST	65394794	619.00	  
29493	61	EF	20533621	164.50	HH
29494	61	IJ	20426410	66.80	HH
29495	62	EF	80010622	227.30	HH
29496	63	CD	85474604	223.70	HH
29497	63	EF	8346772	15.70	HH
29498	65	YZ	74934333	68.60	HH
29499	65	CD	20976132	331.50	  
29500	65	GH	7764506	340.10	IN
29501	66	GH	17993182	447.13	LE
29502	67	YZ	45128363	691.50	LO
29503	67	YZ	57342255	639.30	HH
29504	67	UV	59079301	44.50	  
29505	68	WX	86834001	170.50	HH
29506	68	IJ	8292192	118.60	  
29507	68	ST	34692824	13.70	IN
29508	68	MN	92248808	6.10	  
29509	70	KL	7699788	415.00	HH
29510	71	YZ	53903484	96.80	HH
29511	71	IJ	11544728	160.20	  
29512	71	OP	9098768	101.10	IN
29513	71	QR	34794885	77.80	  
29514	72	OP	43079012	292.30	LE
29515	72	EF	69338589	710.90	HH
29516	72	ST	8297068	228.60	  
29517	73	CD	67077487	606.10	HH
29522	75	IJ	74818038	336.90	HH
29523	76	MN	98325132	520.80	HH
29524	77	ST	28454154	170.90	LE
29525	78	WX	32111394	903.90	HH
29526	79	CD	15471804	278.80	HH
29527	80	IJ	85687774	225.20	HH
29528	81	QR	18026441	176.50	HH
29529	81	MN	28429049	6.20	  
29530	81	GH	62443947	22.90	IN
29531	83	AB	26468819	221.00	HH
29532	83	EF	41590857	394.00	  
29533	84	ST	33353132	170.90	LE
29534	84	ST	18454540	1245.20	HH
29535	85	IJ	65366345	383.10	HH
29536	85	OP	81823444	179.20	LE
29537	86	WX	36292475	100.20	HH
29538	86	MN	48764252	116.00	  
29541	88	ST	72993069	226.80	HH
29542	90	ST	68375611	277.40	HH
29543	90	UV	90134667	237.50	  
29544	90	MN	89044069	437.20	IN
29545	90	YZ	2028567	36.10	  
29554	96	CD	62272125	442.21	LE
29555	96	QR	83610647	90.80	HH
29556	96	WX	41707503	214.00	  
29557	96	EF	49409562	4.60	IN
29558	96	EF	66311460	64.40	  
29559	97	ST	69820374	143.60	HH
29560	97	CD	33796209	241.10	  
29561	97	ST	83123987	.30	IN
29562	97	CD	94469666	1.50	  
29563	97	MN	9693319	857.30	LO
29564	98	CD	94078754	156.90	HH
29565	98	WX	95535426	74.90	HH
29566	99	CD	38411343	450.30	HH
29567	99	EF	26847303	468.20	  
29568	100	UV	6381905	59.80	HH
29569	100	GH	16341108	732.90	  
29570	101	KL	10926431	803.70	HH
29571	101	GH	26152324	85.50	  
